key,zh_CN,en_US
i18n,Simplified Chinese (China),English (United States)
powers,powers,powers
great power,great power,great power
superpower,superpower,superpower
opt_new,New Map,New Map
opt_save,Save,Save
opt_load,Load,Load
opt_quit,Quit,Quit
opt_reset,Reset Zoom,Reset Zoom
opt_layers,Layers,Layers
opt_style,Style,Style
opt_options,Options,Options
opt_tools,Tools,Tools
opt_about,About,About
opt_layers_preset,Layers preset:,Layers preset:
opt_layers_displayed,Displayed layers:,Displayed layers:
opt_layers_texture,Texture,Texture
opt_layers_heightmap,Heightmap,Heightmap
opt_layers_biomes,Biomes,Biomes
opt_layers_cells,Cells,Cells
opt_layers_grid,Grid,Grid
opt_layers_coord,Coordinates,Coordinates
opt_layers_wind,Wind Rose,Wind Rose
opt_layers_rivers,Rivers,Rivers
opt_layers_relief,Relief,Relief
opt_layers_religions,Religions,Religions
opt_layers_cultures,Cultures,Cultures
opt_layers_states,States,States
opt_layers_provinces,Provinces,Provinces
opt_layers_zones,Zones,Zones
opt_layers_borders,Borders,Borders
opt_layers_routes,Routes,Routes
opt_layers_temperature,Temperature,Temperature
opt_layers_population,Population,Population
opt_layers_precipitation,Precipitation,Precipitation
opt_layers_labels,Labels,Labels
opt_layers_icons,Icons,Icons
opt_layers_markers,Markers,Markers
opt_layers_rulers,Rulers,Rulers
opt_layers_scale,Scale Bar,Scale Bar
opt_style_preset,Style preset:,Style preset:
opt_style_select,Select element:,Select element:
opt_style_preset,Opacity,Opacity
opt_style_halo_width,Halo width,Halo width
opt_style_halo_opacity,Halo opacity,Halo opacity
opt_style_filter,Filter,Filter
opt_style_global,Toggle global filters:,Toggle global filters:
opt_map_size,Canvas size,Canvas size
opt_map_year,Year,Year
opt_map_era,Era,Era
opt_map_seed,Map seed,Map seed
opt_map_points_n,Points number,Points number
opt_map_name,Map name,Map name
opt_map_template,Map template,Map template
opt_map_cultures_n,Cultures number,Cultures number
opt_map_cultures_set,Cultures set,Cultures set
opt_map_states_n,States number,States number
opt_map_provinces_ratio,Provinces ratio,Provinces ratio
opt_map_size_variety,Size variety,Size variety
opt_map_growth_rate,Growth rate,Growth rate
opt_map_towns_n,Towns number,Towns number
opt_map_religions_n,Religions number,Religions number
opt_tools_configure,Click to configure:,Click to configure:
opt_tools_overview,Click to overview:,Click to overview:
opt_tools_regenerate,Click to regenerate:,Click to regenerate:
opt_tools_add,Click to add:,Click to add:
opt_about_info,We are the best.,We are the best.
opt_about_switch_language,Switch application language:,Switch application language:
opt_box_edit,Edit,Edit
opt_box_name,Name,Name
opt_box_features,Features,Features
cells_draw_tells,Cell Draws:,Cell Draws:
cells_vert,Delaunator,Delaunator
cells_line,Show line,Show line
cells_region,Voronoi,Voronoi
cells_side,Show line,Show line
zh_CN,Simplified Chinese (China),Simplified Chinese (China)
en_US,English (US),English (US)
